State,01-10-2017,02-10-2017,03-10-2017,04-10-2017,05-10-2017,06-10-2017,07-10-2017,08-10-2017,09-10-2017,10-10-2017,11-10-2017,12-10-2017,01-10-2018,03-10-2018,04-10-2018,05-10-2018,06-10-2018,07-10-2018,08-10-2018,09-10-2018,10-10-2018,11-10-2018,12-10-2018,02-10-2019,03-10-2019,04-10-2019,05-10-2019,06-10-2019,07-10-2019,08-10-2019,09-10-2019,10-10-2019,11-10-2019,12-10-2019,01-10-2020,02-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,01-10-2021,02-10-2021,03-10-2021,04-10-2021,05-10-2021,06-10-2021,07-10-2021,08-10-2021,09-10-2021,10-10-2021,11-10-2021,12-10-2021,01-10-2022,02-10-2022,03-10-2022,04-10-2022,05-10-2022,06-10-2022,07-10-2022,09-10-2022,10-10-2022,11-10-2022,12-10-2022,01-10-2023,02-10-2023,03-10-2023,04-10-2023,05-10-2023,06-10-2023,08-10-2023,09-10-2023,10-10-2023,11-10-2023,12-10-2023,01-10-2024,02-10-2024,03-10-2024,04-10-2024,05-10-2024,06-10-2024
AK,933,936,933,932,927,914,911,909,904,909,905,903,901,895,893,891,895,893,895,890,887,862,867,858,853,851,849,848,845,851,847,845,840,839,842,839,833,835,834,833,834,829,834,827,835,830,828,828,826,822,816,824,825,825,822,821,829,844,849,823,820,817,822,813,810,810,810,806,800,797,799,790,783,774,760,757,757,748,746,741,737,737,741,740,911
AL,"2,312","2,309","2,307","2,303","2,314","2,322","2,319","2,318","2,323","2,312","2,297","2,294","2,291","2,270","2,270","2,276","2,276","2,270","2,266","2,269","2,256","2,250","2,236","2,207","2,189","2,193","2,186","2,177","2,170","2,158","2,148","2,143","2,134","2,137","2,140","2,135","2,127","2,112","2,103","2,091","2,092","2,104","2,102","2,122","2,130","2,144","2,153","2,153","2,173","2,173","2,169","2,168","2,169","2,166","2,171","2,178","2,175",2195,"2,210","2,150","2,152","2,142","2,139","2,152","2,155","2,148","2,147","2,147","2,146","2,127","2,117","2,116","2,117","2,100",2086,"2,076",2064,2058,2062,2050,2053,2042,2036,2032,"2,319"
AR,"1,955","1,954","1,951","1,949","1,949","1,943","1,949","1,943","1,947","1,947","1,931","1,936","1,931","1,928","1,930","1,935","1,945","1,937","1,922","1,923","1,935","1,932","1,927","1,921","1,923","1,911","1,894","1,898","1,897","1,888","1,883","1,870","1,861","1,861","1,860","1,858","1,862","1,852","1,845","1,838","1,836","1,855","1,864","1,869","1,880","1,879","1,885","1,880","1,889","1,888","1,899","1,889","1,880","1,883","1,881","1,880","1,885",1909,"1,919","1,893","1,890","1,892","1,890","1,875","1,876","1,875","1,878","1,883","1,880","1,886","1,889","1,882","1,871","1,868",1862,"1,866",1860,1839,1836,1822,1820,1808,1803,1798,"1,949"
AZ,"3,217","3,214","3,212","3,235","3,238","3,244","3,239","3,251","3,240","3,255","3,256","3,238","3,231","3,237","3,237","3,243","3,244","3,246","3,248","3,248","3,242","3,223","3,229","3,216","3,216","3,224","3,214","3,199","3,188","3,195","3,184","3,186","3,180","3,186","3,186","3,193","3,219","3,237","3,259","3,280","3,318","3,345","3,385","3,437","3,469","3,488","3,513","3,522","3,533","3,557","3,564","3,604","3,606","3,619","3,607","3,625","3,638",3700,"3,715","3,658","3,661","3,664","3,677","3,681","3,677","3,675","3,674","3,673","3,670","3,676","3,650","3,642","3,632","3,628",3620,"3,614",3599,3568,3562,3563,3565,3553,3550,3539,"3,239"
CA,"7,656","7,613","7,592","7,605","7,585","7,605","7,582","7,604","7,605","7,586","7,553","7,530","7,515","7,656","7,703","7,747","7,768","7,845","7,829","7,909","7,911","7,921","7,923","7,847","7,861","7,977","7,951","7,963","7,962","8,035","8,109","8,096","8,133","8,113","8,096","8,107","8,116","8,088","8,074","8,167","8,164","8,321","8,434","8,538","8,589","8,666","8,729","8,733","8,789","8,807","8,878","8,936","8,996","9,054","9,060","9,118","9,167",9311,"9,418","9,267","9,251","9,262","9,361","9,419","9,501","9,503","9,542","9,544","9,565","9,601","9,672","9,688","9,799","9,829",9801,"9,770",9736,9659,9673,10005,10216,10373,10503,10634,"7,582"
CO,"2,939","2,940","2,955","2,965","2,978","3,001","2,994","2,980","2,985","2,995","2,999","2,993","2,989","2,970","2,977","2,991","2,992","2,998","2,991","2,992","2,990","2,987","2,986","2,963","2,961","2,967","2,962","2,944","2,941","2,944","2,927","2,919","2,914","2,924","2,925","2,920","2,924","2,920","2,908","2,901","2,901","2,933","2,950","2,969","2,974","2,982","3,003","3,016","3,013","3,034","3,043","3,057","3,054","3,061","3,055","3,063","3,070",3111,"3,123","3,061","3,052","3,037","3,032","3,034","3,041","3,029","3,028","3,043","3,042","3,036","3,043","3,045","3,045","3,035",3021,"3,013",3001,2968,2964,2954,2948,2946,2928,2904,"2,994"
CT,"1,802","1,793","1,799","1,811","1,815","1,811","1,801","1,803","1,801","1,805","1,809","1,802","1,803","1,805","1,800","1,794","1,806","1,802","1,807","1,802","1,789","1,784","1,786","1,770","1,779","1,778","1,773","1,765","1,765","1,771","1,764","1,753","1,750","1,751","1,754","1,752","1,746","1,735","1,732","1,735","1,733","1,740","1,744","1,754","1,765","1,770","1,774","1,777","1,780","1,779","1,788","1,779","1,779","1,777","1,777","1,777","1,777",1786,"1,796","1,777","1,770","1,758","1,766","1,761","1,754","1,756","1,758","1,751","1,747","1,746","1,744","1,748","1,736","1,727",1719,"1,713",1705,1690,1676,1677,1676,1668,1667,1669,"1,801"
DE,325,324,321,319,317,316,316,316,318,317,318,319,316,311,309,314,310,312,309,306,303,302,303,304,304,305,305,308,306,305,305,303,302,304,303,303,303,300,304,306,306,309,318,321,321,320,321,321,324,326,321,318,324,323,324,324,323,326,328,321,323,320,320,316,320,319,315,316,314,308,312,311,310,314,314,309,307,304,300,299,300,299,299,300,316
FL,"7,299","7,280","7,280","7,326","7,308","7,300","7,290","7,282","7,280","7,248","7,224","7,201","7,194","7,157","7,147","7,155","7,152","7,128","7,147","7,132","7,146","7,134","7,124","7,060","7,061","7,025","7,012","6,952","6,935","6,933","6,924","6,911","6,905","6,882","6,879","6,861","6,823","6,828","6,829","6,832","6,857","6,904","6,991","7,059","7,103","7,146","7,174","7,188","7,210","7,243","7,285","7,289","7,315","7,309","7,342","7,376","7,360",7526,"7,587","7,420","7,427","7,432","7,439","7,447","7,473","7,489","7,510","7,475","7,472","7,471","7,461","7,462","7,466","7,470",7433,"7,407",7391,7353,7335,7340,7335,7283,7267,7231,"7,290"
GA,"3,692","3,692","3,689","3,703","3,686","3,674","3,652","3,651","3,643","3,635","3,618","3,597","3,582","3,562","3,537","3,543","3,537","3,531","3,506","3,517","3,520","3,529","3,524","3,490","3,476","3,477","3,473","3,463","3,444","3,426","3,428","3,428","3,428","3,419","3,393","3,401","3,398","3,393","3,379","3,391","3,418","3,450","3,474","3,500","3,502","3,517","3,528","3,553","3,561","3,573","3,596","3,609","3,627","3,635","3,632","3,641","3,645",3714,"3,724","3,658","3,655","3,655","3,666","3,676","3,698","3,695","3,685","3,677","3,669","3,665","3,660","3,653","3,645","3,628",3600,"3,585",3571,3564,3553,3556,3557,3550,3528,3512,"3,652"
